"","doc_id","timestamp","favorite_count","retweet_count","text"
"1",1,2015-11-07 00:07:00,1824,796,"Would be nice if @jmartNYT learned how to read the polls before writing his next story Probably done on purpose but not good reporting"
"2",2,2015-11-07 00:08:00,2285,4029,"@nbcsnl One more day Donald Trump hosts #SNL with @Sia tomorrow   Will be a wild night"
"3",3,2015-11-07 03:23:00,2333,986,"@Bubbachitchat  THIS IS WHY THE POLLS ARE WRONG @HananKhan  I am a lifelong democrat And I will be voting trump #democratsfortrump"
"4",4,2015-11-07 05:20:00,3012,1215,"One of the dumbest political pundits on television is Chris Stirewalt of @FoxNews Wrong facts  check Fox debate rankings Trump #  Dope"
"5",5,2015-11-07 05:23:00,1892,703,"@essygalloway @realDonaldTrump @nbcsnl @Sia  I cant wait to watch snl tomorrow A really big show"
"6",6,2015-11-07 17:29:00,1076,470,"@RobertGBeckel Please thank your brother for his nice words on television Seems like a great guy and character @CNN"
"7",7,2015-11-07 17:34:00,2764,1189,"Saturday Night Live has some incredible things in store tonight The great thing about playing myself is that it will be authentic Enjoy"
"8",8,2015-11-07 17:36:00,968,501,"@SocialInNewYork We unearthed Donald Trumps Vine account from      and its incredible  Thank you"
"9",9,2015-11-07 17:39:00,1333,628,"@Live News Live from New York Donald Trump will soon be hosting SNL  Frazier enjoy the show and best wishes"
"10",10,2015-11-07 17:40:00,1975,827,"@HouseCracka Donald Trump is going to win the Presidency Get on board the #TrumpTrain its going to be #YUGE  Thanks"
"11",11,2015-11-07 17:47:00,3044,1302,"They are saying that tickets to tonights Saturday Night Live are the hardest to get in the history of this great show Off to a good start"
"12",12,2015-11-07 17:50:00,1561,640,"@keksecorg @realDonaldTrump I havent seen anyone carry themselves so Presidential since Reagan #MakeAmericaGreatAgain Great"
"13",13,2015-11-07 17:52:00,1399,536,"@tazz      @realDonaldTrump cant wait to watch #trump for president #saturday night live"
"14",14,2015-11-07 18:26:00,1354,612,"@nbcsnl Were live from Studio  H tonight #SNL "
"15",15,2015-11-07 18:27:00,1536,664,"@nbcsnl See you at Rockefeller Center #SNL "
"16",16,2015-11-07 18:28:00,1219,553,"@nbcsnl Cecily also has a Trump impression  #SNL "
"17",17,2015-11-07 18:28:00,1435,611,"@nbcsnl Everyone loves @Sias new look #SNL "
"18",18,2015-11-07 18:29:00,1720,653,"@nbcsnl Backstage with Trump #SNL "
"19",19,2015-11-07 18:30:00,1658,747,"@nbcsnl From the last time Donald Trump hosted #SNL  The Boardroom Band  "
"20",20,2015-11-07 19:25:00,2318,981,"@Albusinvogue @Sia is performing DonaldTrump is hosting Tonights #saturdaynightlive is going to be legendary "
"21",21,2015-11-07 19:26:00,1612,735,"@RealCinders  @realDonaldTrump use SNL to tell Hispanics you are for them  you want them to have jobs and be here legally Great idea"
"22",22,2015-11-07 19:29:00,4040,2052,"@BMWe  forever @realDonaldTrump so let it be written so lets get him elected in a landslide victory in      "
"23",23,2015-11-07 19:32:00,1350,879,"@AmesMoreno @DesignerDeb  @garyinlv   @sueinwny @megynkelly @realDonaldTrump   Wow Marco is this true"
"24",24,2015-11-07 19:41:00,1427,609,"@BornToBeGOP @realDonaldTrump You want them here legally and they want to be here legally"
"25",25,2015-11-07 19:41:00,3226,1641,"@Waxking    @CBSNews @realDonaldTrump  "
"26",26,2015-11-07 19:42:00,1993,1052,"@jak  seven If you like how @HillaryClinton handled #Benghazi then youll just  her as CommanderinChief  #MakeAmericaGreatAgain"
"27",27,2015-11-07 19:44:00,2257,782,"@sherrysue   I am working a #  HR #AMERICAN SHIFT BUT WILL STAY UP   WATCH I COULD USE A SATURDAY NIGHT LIVE LAUGH #WEU Nice"
"28",28,2015-11-08 00:17:00,8048,2702,"I am at the Saturday Night Live Studio  electricity all over the place We will be doing a tweeting skit so stay tuned"
"29",29,2015-11-08 12:15:00,2433,1031,"Amazing evening at Saturday Night Live"
"30",30,2015-11-08 12:16:00,1164,416,"Will be on @foxandfriends at     AM"
"31",31,2015-11-08 12:17:00,1124,422,"@PearlsPolkaDots @realDonaldTrump Loved the show Best #SNL in years #TrumpTrainSNL"
"32",32,2015-11-08 12:17:00,1178,495,"@branzetta The books great @realDonaldTrump #CrippledAmerica "
"33",33,2015-11-08 12:17:00,998,388,"@martydrinksbeer @realDonaldTrump It was FANTASTIC"
"34",34,2015-11-08 12:18:00,1286,642,"@David   NC We finally have a voice with   Lets do our part  VOTE IN THE R PRIMARY   #Trump     #TrumpArmy "
"35",35,2015-11-08 12:18:00,1051,399,"@redletter   @realDonaldTrump thanks donald great showwhen r u coming back to massachusetts Very soon"
"36",36,2015-11-08 12:18:00,846,404,"@ChristineMMoran @realDonaldTrump great show  "
"37",37,2015-11-08 12:19:00,4260,2112,"@wakeupfla Please stand up for American Hispanic families and fight illegal immigration it is destroying USA "
"38",38,2015-11-08 12:19:00,1129,412,"@jackmarchione @realDonaldTrump Loved the show"
"39",39,2015-11-08 12:20:00,2715,1018,"@PizzaPartyBen @realDonaldTrump we need you elected tomorrow"
"40",40,2015-11-08 12:20:00,1233,386,"@ccakul @realDonaldTrump it was a great show"
"41",41,2015-11-08 12:20:00,1417,462,"@syoka   @realDonaldTrump Trump rocked SNL"
"42",42,2015-11-08 12:21:00,1793,677,"@EEGRC   @realDonaldTrump I am Hispanic  I am with you"
